"Crop";"2017 (%)";"2018 (%)";"2019 (%)";"2021 (%)";"2022 (%)";"2023 (%)";"color"
"Wheat";11.69;13.37;14;13.56;14.51;11.41;"#f3bb6b"
"Corn";14.47;17.88;17.64;18.26;16.86;17.32;"#ffd057"
"Barley";8.12;5.12;4.59;3.62;4.38;3.78;"#bc987d"
"Other cereals";1.76;3.34;3.22;1.47;2.19;5.03;"#a95626"
"Rapeseed";2.81;3.87;3.9;3.02;3.17;3.84;"#dcf767"
"Sunflower";0.07;0.01;0.0;0.05;0.02;0.03;"#fa913b"
"Soya";0.16;0.0;0.0;0.01;0.01;0.05;"#e6cfab"
"Linen";0.01;0.01;0.01;0.01;0.02;0.0;"#5654d3"
"Hemp";0.03;0.01;0.0;0.01;0.01;0.01;"#6018fb"
"Rice";0.0;0.0;0.0;0.0;0.0;0.0;"#8ecae4"
"Protein crops";0.14;0.19;0.28;0.21;0.32;0.57;"#b9a998"
"Beetroot";0.31;0.1;0.12;0.19;0.08;0.07;"#e74e91"
"Potato";0.36;0.31;0.21;0.25;0.26;0.3;"#f191a8"
"Veget/flowers/herbs";8.76;6.79;8.02;8.48;5.1;7.53;"#badcc9"
"Orchards";3.89;1.53;1.97;1.94;4.78;1.95;"#d44548"
"Citrus";0.0;0.0;0.0;0.01;0.01;0.0;"#ff7527"
"Olive trees";0.33;0.11;0.07;0.0;1.92;0.08;"#91892f"
"Vineyards";1.26;0.13;0.28;0.15;0.5;0.09;"#aa3e74"
"Grass/fallow lands";29.19;36.64;35.53;37.34;30.43;36.73;"#50b053"
"Pasture/moors";2.93;1.42;1.11;3.86;2.37;1.08;"#aff2a2"
"Wood";13.7;9.14;9.03;7.54;12.77;10.1;"#008565"
"Other crops";0.01;0.01;0.01;0.03;0.01;0.01;"#161616"
